86.7	32	58.6
87	32.4	58.9
86.3	32.1	58.5
86.6	33	59
86.1	32	58.3
86.6	33.4	59.2
86.7	33.4	59.3
86.7	32.7	58.9
86.3	33	58.9
86.6	32.4	58.7
86.5	32.6	58.7
86.9	33	59.1
86.5	32.6	58.7
86.6	33	59
86.5	33	58.9
86.6	32.8	58.8
86.6	33.1	59
86.2	32.8	58.6
86.1	33.4	58.9
86.6	33.5	59.2
86.6	33.4	59.1
87.4	33.6	59.6
86.8	33.7	59.4
86.6	33.5	59.2
86.2	33.4	58.9
86.1	33.4	58.9
85.9	33.2	58.8
86.2	33.9	59.2
86.3	33.6	59.1
86.2	34.2	59.4
86.1	33.7	59.1
86.5	34.1	59.5
86.5	33.7	59.2
86.4	34.3	59.4
86.3	34.4	59.3
86.3	34	59.2
86	34.3	59.1
86.3	34.2	59.1
86.9	35	59.8
86.3	34.4	59.1
86.6	34.7	59.4
86.4	34.2	59
86.3	35.2	59.4
84.8	34.7	59.2
86.4	34.4	59.1
86.8	34.8	59.4
86.5	34.7	59.2
86.8	35.1	59.6
86.8	35	59.5
87	34.9	59.5
86.5	34.1	58.9
86.3	34.3	58.8
86.4	34.7	59.1
86.4	34.6	59.1
86.3	34.4	58.9
85.9	34.4	58.7
85.9	35.4	59.2
85.6	34.6	58.7
85.6	35.4	59.1
86.4	34.8	59.2
86.5	35.1	59.5
86.8	34.9	59.5
86.8	35.2	59.6
86.3	34.6	59.1
85.8	34	58.6
85.8	34.7	58.9
85.9	34.6	58.9
85.7	34.2	58.6
85.4	34.3	58.5
85.4	34.4	58.5
85.9	33.9	58.6
85.8	33.6	58.3
85.8	33.9	58.6
86.2	35	59.3
85.6	35.1	59.1
86	35	59.2
85.7	34.6	58.9
85.3	34.4	58.5
85.4	34.1	58.4
85.9	34.3	58.7
86	34.9	59.2
85.5	34.8	58.8
85.2	34.6	58.6
84.8	34.1	58.1
85	34.7	58.6
84.8	34.5	58.4
85	34.5	58.5
85.2	35.3	59
85.1	35	58.8
84.8	35.2	58.8
85.3	35.8	59.3
85.4	36.4	59.7
85.6	36.2	59.7
85.7	36.4	59.8
85.8	36.5	59.9
85.9	37	60.2
86.1	36.7	60.2
85.9	36.3	59.9
85.8	36.4	59.8
85.6	36.6	59.9
85.8	37.1	60.2
85.7	37	60.1
85.5	37.2	60.1
85.4	37	60
85.2	37.1	60
85	36.9	59.8
85.2	36.9	59.8
85	36.9	59.8
84.8	36.6	59.5
85	37.1	59.9
85.2	36.9	59.8
85	36.5	59.5
84.9	36.6	59.5
85.2	36.8	59.8
85.1	37.2	60
84.4	36.6	59.3
84.6	36.9	59.6
84.4	37	59.5
84.4	36.9	59.5
84.5	37.1	59.6
84.1	36.8	59.3
84	37	59.3
84	37	59.3
84.3	37.3	59.6
84.6	37.4	59.8
84.3	37.1	59.5
84.6	37	59.6
84.6	37.3	59.8
84.7	37	59.7
84.6	37	59.6
84	36.8	59.2
83.8	36.9	59.2
83.8	37.1	59.3
83.5	36.8	59
83.8	37.1	59.3
83.9	37.3	59.4
83.6	37.1	59.2
83.5	37.3	59.2
83.9	37.1	59.4
83.7	37.1	59.2
83.9	37	59.3
83.8	37.4	59.4
83.5	37	59.1
83.9	37.3	59.5
83.6	37	59.1
83.4	37.1	59.1
82.8	36.6	58.5
83.6	37.8	59.5
83.4	37.9	59.5
83.3	38.4	59.7
83.2	38.1	59.5
83.3	37.9	59.5
83.5	38.2	59.7
83.4	37.7	59.4
83.7	38.2	59.8
83.4	38.2	59.7
83.4	38.2	59.6
82.9	38.5	59.6
83.1	38.7	59.7
82.8	38.1	59.3
83	38.1	59.4
83.1	38.6	59.7
82.8	38.1	59.3
82.9	38	59.3
82.6	37.7	59
82.6	38	59.1
82.7	37.8	59.1
82.5	37.5	58.8
82.2	37.9	58.8
82.5	38	59
82.5	37.8	58.9
82	37.8	58.7
82.4	37.8	58.9
82.1	37.8	58.8
81.7	37.7	58.5
82.1	38.3	59
82	38.3	59
81.7	37.9	58.7
81.6	37.8	58.5
81.4	37.8	58.4
81.4	38	58.6
81.3	38.2	58.6
81.4	38.2	58.6
81.5	38.4	58.8
81.4	38.5	58.8
81.2	38.1	58.5
81.5	38.3	58.7
81.3	38	58.5
81.4	38.4	58.7
81.3	38.6	58.8
81.4	38.5	58.8
81	38.3	58.5
81	38.4	58.6
81	38.8	58.8
81	38.7	58.7
81.3	39.2	59.1
81.4	39.1	59.1
80.9	38.8	58.7
81.1	38.5	58.6
80.9	38.6	58.6
81.1	38.5	58.7
80.9	38.6	58.6
80.8	38.5	58.5
80.6	38.8	58.6
80.7	38.7	58.6
80.9	38.8	58.7
80.7	39	58.7
81	39	58.8
81.2	39	59
80.5	39.4	58.8
80.9	39.5	59.1
80.6	39.3	58.9
80.3	39.3	58.7
80.6	39.5	58.9
80.3	39.6	58.8
80.5	39.8	59
80.5	39.8	59
80.3	39.6	58.8
80.4	39.6	58.8
80.5	39.8	59
80.3	40	59
80.5	40.1	59.1
80.5	40.2	59.1
80.5	40.5	59.3
80.2	40.7	59.3
80.2	40.7	59.3
80.4	41.1	59.6
80.5	41	59.5
80.5	40.8	59.5
80.4	40.7	59.3
80.2	40.4	59.1
80.3	40.9	59.4
80.3	40.7	59.3
80.6	41	59.6
80.6	41.1	59.6
80.6	41.2	59.7
80.3	41.4	59.7
80.5	41.7	59.9
80.4	41.6	59.8
80.4	41.9	59.9
79.8	41	59.2
80.2	41.4	59.6
80	41.5	59.6
80.1	41.4	59.5
80.1	42	59.9
80.5	42	60
80.3	41.8	59.8
80.3	41.4	59.6
79.9	41.6	59.5
79.9	41.6	59.5
79.8	41.8	59.6
80	41.8	59.7
79.8	41.9	59.6
80	42.3	60
79.9	42.3	59.9
79.8	42.5	60
79.5	42.4	59.8
79.7	42.9	60.1
79.8	42.9	60.1
79.9	43	60.3
80.1	42.9	60.3
79.9	43.2	60.4
79.8	43	60.2
79.7	43.1	60.2
79.9	43.3	60.4
80	43.2	60.4
80	43.4	60.6
80	43.6	60.6
79.9	43.1	60.3
79.6	43.1	60.2
79.6	43.5	60.4
79.4	43.4	60.3
79.5	43.2	60.2
79.4	43.5	60.4
79.5	43.5	60.4
79.6	43.4	60.4
79.4	43.6	60.4
79.1	43.3	60.1
78.9	43.3	60
79.3	43.2	60.1
79.3	43.2	60.2
78.8	42.8	59.8
79.3	43.1	60.1
79.3	43.3	60.2
79	43.4	60.1
78.9	43.5	60.1
79.1	43.8	60.4
79.1	43.8	60.4
78.8	43.8	60.2
78.8	43.6	60.2
79.1	43.9	60.5
78.9	43.9	60.4
78.9	43.9	60.4
79	43.9	60.4
78.9	43.9	60.4
79.1	44	60.6
78.9	43.9	60.4
78.8	43.9	60.3
78.8	43.9	60.3
79	44	60.5
78.4	43.7	60
78.8	44.3	60.5
79.1	44.4	60.8
78.9	44.6	60.8
78.6	44.6	60.6
78.8	45	60.9
78.9	44.8	60.9
78.6	44.8	60.7
78.6	45	60.8
78.8	45	60.9
79	45.3	61.2
79.1	45.3	61.2
79.5	45.1	61.3
79.3	45.4	61.4
79	45.5	61.3
78.6	45.4	61.1
78.7	45.5	61.2
78.7	45.7	61.2
78.4	46.1	61.4
78.4	45.7	61.2
78.6	46	61.4
78.6	45.8	61.3
78.6	45.9	61.3
78.4	45.9	61.2
78.3	46.3	61.4
78	45.9	61
78	46.2	61.2
78.1	46.3	61.3
78.3	46.4	61.5
77.8	46.3	61.2
78.1	46.4	61.3
77.9	46.5	61.3
77.8	46.4	61.2
77.6	46.5	61.2
77.5	46.4	61.1
77.2	46.6	61.1
77.4	46.9	61.3
77.3	46.9	61.3
77.3	47	61.3
77.7	47.1	61.6
77.6	47.2	61.5
77.3	47.3	61.5
77.6	47.6	61.8
77.6	47.6	61.8
77.5	47.3	61.6
77.5	47.3	61.6
77.7	47.7	61.9
77.6	47.7	61.8
77.3	47.6	61.6
77.6	47.9	61.9
77.5	48.2	62
77.5	48.3	62.1
77.6	48.4	62.2
77.8	48.5	62.4
77.6	48.3	62.1
77.7	48.6	62.3
77.3	48.8	62.3
77.8	48.6	62.4
78	49.1	62.8
78	48.9	62.7
77.9	49.2	62.8
77.8	49.2	62.7
77.7	49.4	62.8
77.8	49.7	63
77.8	49.9	63.1
78	50.1	63.3
77.8	50.1	63.2
77.8	50	63.2
77.6	50.4	63.3
77.8	50.4	63.3
78	50.5	63.5
78	50.6	63.6
78.2	50.5	63.6
78.3	50.8	63.8
78	51	63.8
77.8	50.6	63.5
77.6	50.6	63.3
77.8	50.7	63.5
77.9	50.9	63.6
77.7	51	63.6
77.9	51.1	63.8
77.6	51.3	63.7
77.5	51.3	63.7
77.6	51.5	63.9
77.8	51.6	64
77.9	51.5	64
77.6	51.3	63.7
77.5	51.4	63.8
77.7	51.5	63.9
77.4	51.3	63.7
77.5	51.5	63.8
77.3	51.5	63.7
77.2	51.4	63.6
77.3	51.6	63.7
77.3	51.6	63.8
77	51.5	63.6
77.3	51.9	63.9
77.2	52	63.9
77.3	52.1	64.1
77.5	52.3	64.2
77.5	52.4	64.3
76.7	52.1	63.7
76.8	52.1	63.8
76.9	52.1	63.8
76.6	51.7	63.5
76.7	52.3	63.8
76.7	52.4	63.9
76.6	52	63.6
76.6	52.1	63.7
76.7	52.3	63.8
76.6	52.4	63.8
76.7	52.4	63.9
77	52.7	64.2
76.5	52.7	63.9
76.5	52.8	64
76.6	52.8	64.1
76.7	52.8	64.1
76.7	52.7	64.1
76.7	52.9	64.2
76.5	53	64.1
76.1	52.9	63.9
76	52.7	63.8
76	52.6	63.7
76.1	52.6	63.8
76.1	52.5	63.7
76.8	53	64.3
76.7	52.8	64.1
76.7	53.2	64.3
76.5	53.3	64.3
76.3	53	64
76.5	53.1	64.1
76.3	53.2	64.1
76.1	52.9	63.9
76.2	53.2	64.1
76.2	53.2	64.1
76.2	53.5	64.3
76.3	53.9	64.5
76.6	53.7	64.6
76.4	53.9	64.6
76.3	53.7	64.4
76.5	53.5	64.4
76.3	53.7	64.4
76.4	53.7	64.5
76.5	53.9	64.6
76.3	54.2	64.7
76.2	54.4	64.7
76.3	54.6	64.9
76.4	54.5	64.9
76.3	54.4	64.8
76.1	54.1	64.6
76.2	54.3	64.7
76.2	54.2	64.6
76.3	54.6	64.9
76.4	54.6	65
76.2	54.7	64.9
76.1	54.9	65
76.2	54.7	64.9
76.2	54.8	65
76.2	55.1	65.1
76.2	55.1	65.1
76.2	55.2	65.2
76.3	55.5	65.4
76.3	55.5	65.4
76.1	55.6	65.3
76.3	55.5	65.4
76.2	55.7	65.4
76.4	55.5	65.4
76.3	55.4	65.3
76.3	55.4	65.4
76.3	55.6	65.5
76.2	55.8	65.5
76.1	55.8	65.4
76.4	56.1	65.7
76.1	55.9	65.5
76	56.1	65.6
76.3	56.2	65.7
76	56	65.5
76.2	56.3	65.7
76.1	56.3	65.7
76.1	56.4	65.7
76.2	56.4	65.8
76.2	56.5	65.9
75.9	56.4	65.7
76.2	56.4	65.8
76.2	56.1	65.7
76.2	56.4	65.8
76.2	56.5	65.9
76.5	56.6	66.1
76.2	56.6	65.9
76.1	56.8	66
76.1	57.2	66.2
76	57.2	66.1
76.4	57.5	66.5
76.3	57.1	66.3
76.3	57.2	66.3
76.5	57.3	66.4
76.3	57.3	66.3
76.7	57.3	66.5
76.5	57.4	66.5
76.5	57.5	66.5
76.1	57.5	66.4
76.5	57.4	66.5
76.4	57.8	66.6
76.4	57.5	66.5
76.7	57.7	66.8
76.6	57.6	66.7
76.6	57.6	66.7
76.4	57.5	66.6
76.4	57.7	66.6
76.3	57.4	66.4
76.3	57.5	66.5
76.3	57.6	66.5
76.1	57.6	66.4
76.2	57.4	66.4
76.3	57.4	66.4
76.3	57.3	66.4
